Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.9127735503048,7.19975129292388,22.5277562007029,2.09628875042125,-2.16340442746143,3.81463031545211,16.5933467401627,7.30175646760432,4.82278547876986,0.56694454253261,2.44756300147404,-2.19752646733461,2.40365618765746,2.07134857783487,6.52147984832531,6.9629462552564,2.83899625081041,9.40623933931322,2.92366213121669,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.36867310434287,3.41377297323201,1.93570171391636,0.45536044478174,0.45188914562189,1.20311798981139,0.293025179616803,0.285440893554571,0.239801184405551,0.209664794672203,0.88400046336123,0.516606084523093,0.274796791572807,0.661572217787196,0.124495985291258,0.0649939571808755,0.144466946606861,..,..,..
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,3428116975.5,..
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,13.7928583731895,20.4806758495246,21.2121323521857,20.0367248536922,15.3334973971382,13.9770517017747,12.9281604362278,12.8048363659593,12.3049882693651,13.4908301094464,14.1470450360055,14.5133427404056,14.6424246657516,13.9496520351375,15.1208585304773,24.7857399527695,23.3368489769108,19.7980988255309,..
Afghanistan,AFG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.4556283331357,12.9867036666422,16.6684717100358,15.2435765521019,..
Afghanistan,AFG,Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,..,..,..,0.60363357492882,0.500545382222191,2.03523498347119,1.26581811096506,1.58277362098829,1.45293353564213,2.31218836672431,4.12501296057459,4.86904294176967,5.79905881440043,5.28515663676075,4.94091559027239,4.46339517540959,..,..,..,..
Afghanistan,AFG,Present value of external debt (current US$),DT.DOD.PVLX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2717456905.9,..
Afghanistan,AFG,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,0.402819292924976,0.487686262693032,0.344156289997136,0.313643499018774,0.553881984367382,1.55148595351724,1.87526084674456,2.80585396332281,3.73588202243344,3.54864769227737,2.59522269404553,2.39042205413598,2.2440821580961,..,..,..,..
Afghanistan,AFG,Total reserves in months of imports,FI.RES.TOTL.MO,..,..,..,9.42513728779039,12.2056050228344,10.4573872731044,10.3439728750425,8.67720885361815,8.58813766628177,10.7026948461815,9.77019396043118,11.8280603760738,12.1342766418313,12.178586861258,13.7489091058633,16.6316336551941,..,..,..,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,-2.35799044700136,2.23601941932175,-3.64331388234628,-12.6195382087159,-25.8706814974751,-25.290058564309,-15.7724198274304,-21.9126573355151,-14.9501951919169,-18.9559612272258,-21.5852741164653,-20.1704643881064,-15.7183027911684,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.5846651516385,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.14370505375079,2.68476832531357,5.14956776072877,3.49863912505761,2.57034008938903,4.12744389120799,1.69479180198789,0.226739790649205,0.352563785277709,1.44342053888136,0.771576290611591,-0.864265221201691,2.72506918540461,1.45328722509015,1.00063285556122,0.0410440719196288,3.44439110040804,9.86158300344633,6.0660520944985,2.68887445578932
